Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
14,-4.677,-5.9,-4.441,-0.49498,-4.461,-4.56,0.41735,-4.452,16.33172,15.43584,7.75754,12.1402,10.32068,12.71151,18.65089,9.31518,-0.92448,-0.7693,-0.36861,0.24491,-0.90074,-0.91485,-0.37759,-0.68544,181.44385,573.87573,286.66431,620.11511,181.99797,263.74115,650.50482,206.03529,123.13593,-164.90138,108.49122,133.46286,4.19528,81.12586,142.05338,94.35222
15,-3.741,-6.725,-1.943,-1.35894,-5.242,-2.652,1.6589,-4.472,16.52762,15.4714,7.84935,12.52908,10.29286,12.57014,18.46589,9.5241,-0.39531,-0.12024,0.09374,0.31975,-0.08894,-0.29884,0.05106,0.1308,181.96907,490.43585,266.73892,585.21472,152.30785,285.43323,730.47363,197.62691,103.02191,-2.0736,106.75367,123.12804,30.6089,20.29547,11.45136,71.91106
16,-2.15,-4.058,-0.245,-2.73594,-3.947,-0.949,-1.04602,-3.204,16.26492,15.44861,7.43506,11.97323,10.08042,12.1445,17.89847,9.36892,-0.24808,0.23088,0.19339,0.3608,0.35794,-0.31006,0.02406,0.19574,257.95529,361.46399,350.47244,685.2077,157.62759,292.18445,693.28082,210.86823,67.99094,159.79422,5.32613,-45.45228,33.89351,106.02346,-56.08732,15.511
17,-2.484,-1.919,-1.376,-1.08054,-3.335,-1.723,-0.07927,-2.647,16.2025,15.22121,7.51345,12.26952,9.90954,12.2946,18.19375,9.36619,-0.52188,0.2216,-0.26555,0.34587,-0.03164,-0.61441,-0.02787,-0.29214,202.30923,367.04214,323.60413,609.48975,161.46561,255.09871,617.30896,200.90926,124.68078,126.44704,30.11017,-102.36935,38.82716,103.24094,-76.70098,48.21401
18,-1.909,0.384,-1.13,-1.08054,-2.554,-1.406,-0.07927,-2.075,16.2025,15.22121,7.51345,12.26952,9.90954,12.2946,18.19375,9.36619,-0.52188,0.2216,-0.26555,0.34587,-0.03164,-0.61441,-0.02787,-0.29214,202.30923,367.04214,323.60413,609.48975,161.46561,255.09871,617.30896,200.90926,124.68078,126.44704,30.11017,-102.36935,38.82716,103.24094,-76.70098,48.21401
19,-0.295,0.365,1.268,1.71778,-2.087,0.652,3.06367,-1.127,14.84472,15.00563,6.33903,11.41934,9.48552,11.51857,17.97216,8.13269,-0.50851,-0.25309,0.16215,0.88482,-0.27061,-0.1868,0.48798,-0.08566,213.70219,435.54987,362.37238,650.28778,143.72856,273.69308,592.30103,221.50987,188.09865,29.83037,151.27394,143.01224,98.99116,199.10521,311.50864,105.54486
20,-2.333,-3.394,-3.391,-2.14773,-1.875,-2.988,-2.12033,-0.902,16.20461,15.37185,7.70892,12.8057,9.63559,12.60061,19.03603,9.67824,-1.28923,-0.70749,-1.10472,-0.72798,-0.74682,-0.7148,-0.11009,-1.29735,227.66951,407.95184,341.03366,481.77359,145.83078,211.95592,497.8024,231.87038,94.64845,544.30182,124.07249,211.68526,91.59431,67.5969,36.74668,135.38647
21,-2.775,-0.444,-3.203,-1.78462,-2.266,-3.137,-2.21005,-1.793,16.21098,15.33427,7.69319,12.79124,9.59812,12.59486,19.04141,9.65849,-1.32205,-0.68778,-1.0833,-0.72175,-0.73802,-0.73578,-0.12318,-1.32007,221.80191,409.4505,335.6048,471.0799,147.40462,205.27151,481.17596,225.6559,95.39886,525.84637,125.78368,224.09216,88.56475,73.93652,53.49771,136.85956
22,-1.789,-0.343,-0.362,-2.06572,-3.301,-0.954,-0.66505,-2.924,16.17868,15.41123,7.41666,12.00109,10.04374,12.10823,17.88708,9.31986,-0.26031,0.19608,0.13249,0.29068,0.31108,-0.32749,-0.00323,0.14943,256.94998,360.9848,347.14374,669.91681,159.27263,287.76706,685.41858,209.55457,69.17126,161.30734,6.05584,-33.86077,34.12106,104.01176,-48.52551,17.25844
23,-3.439,-0.821,-4.628,-3.46166,-2.103,-4.201,-4.60715,-1.233,15.72696,14.82356,7.7146,13.21238,9.68692,12.29965,19.07304,9.31116,-0.94543,-0.34322,-0.70636,-0.71385,-0.74493,-0.59733,-0.30831,-1.14071,178.00185,416.36234,292.16125,407.15591,157.44986,176.54953,408.5658,189.06577,110.15212,256.91995,80.63946,188.96828,66.92429,94.38786,142.44519,92.2835
24,-3.86,-0.181,-3.22,-1.748,-3.854,-3.518,-3.37988,-3.399,15.83456,14.87809,7.7887,13.03525,9.87312,12.37301,18.92246,9.27663,-0.83695,-0.24186,-0.56318,-0.37489,-0.63476,-0.69246,-0.36681,-0.8932,181.96089,450.23325,287.05753,466.28436,166.46422,201.33798,453.53854,189.8358,99.99735,62.71267,65.08251,108.22171,37.45546,92.24936,136.01039,68.2243
25,-3.376,-0.006,-2.483,-1.86668,-4.411,-2.843,0.1047,-4.031,16.57444,15.32131,7.40655,11.83266,9.83258,12.39344,17.9905,9.39057,-0.62822,0.44316,-0.0968,0.81643,0.26924,-0.7752,0.04141,-0.11239,194.0654,361.93115,313.39423,644.87604,169.43335,261.25006,620.11749,187.32028,128.8905,48.6792,45.30299,-144.27858,18.58866,128.9677,-94.67274,52.39687
26,0.787,2.002,3.471,-1.0631,-0.74,2.311,-2.33794,1.912,14.89603,14.50543,6.47939,11.81519,9.07042,11.22976,17.8262,8.04598,0.6111,0.11419,0.58434,0.44939,0.36006,0.64123,0.46433,0.67928,293.04233,540.44049,389.35138,698.30878,204.74753,313.10837,703.00458,268.94562,66.11895,68.37004,17.70502,-48.31803,6.48012,96.56789,-0.52916,-10.46507
27,-1.877,1.425,-1.869,0.24925,-1.811,-1.77,-1.41182,-0.713,15.45846,15.12074,6.97681,12.49559,9.98815,11.72964,18.12367,9.12098,-0.55547,-0.20581,-0.37659,-0.01833,-0.35379,-0.6328,-0.31756,-0.5726,285.00772,464.79172,316.97363,569.15082,175.4462,362.22449,713.62982,217.85068,7.57834,152.11293,85.25008,352.57291,61.99162,-51.7941,109.57957,86.56096
28,-3.33,0.16,-3.798,-2.97983,-2.205,-3.607,-4.13367,-1.705,15.83413,14.92523,7.70641,13.11351,9.66506,12.36121,19.062,9.37757,-1.02883,-0.40918,-0.77476,-0.70124,-0.73705,-0.6329,-0.27206,-1.1747,186.27515,415.92917,299.77579,419.95874,156.12584,181.98669,421.56519,195.39491,106.70209,304.65869,90.71549,197.46941,69.9835,91.55677,127.22478,101.60022
29,-3.423,-4.196,-2.4,-1.08453,-3.531,-2.774,0.33969,-3.077,16.51153,15.35454,7.47439,11.83045,9.95975,12.49268,18.16043,9.33944,-0.74235,0.06794,-0.18182,0.69881,-0.10247,-0.86347,-0.10341,-0.30965,190.16435,430.8544,309.01733,650.8576,176.62726,263.20325,631.09607,193.3062,128.86705,-37.74939,61.96022,-72.82048,10.83718,121.46597,-21.40147,66.33112
