Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
594,-0.184,-1.693,0.806,0.1442,-1.74,0.126,2.65721,-1.156,14.87976,15.08426,6.40306,11.49772,9.61913,11.50587,17.97898,8.32586,-0.36998,-0.38069,0.15377,0.8864,-0.31724,0.02606,0.7081,-0.12405,213.75223,395.42416,355.4823,625.26935,134.70134,255.62468,565.57343,231.10263,151.82124,-2.09141,128.412,129.63765,82.61028,127.2436,270.2619,65.05629
595,1.383,1.531,1.836,0.39261,0.316,0.815,-2.508,1.046,14.37811,14.54574,6.04431,11.59854,9.05377,10.88064,17.82754,8.10938,0.82624,0.06849,0.83903,0.83871,-0.0021,0.92941,0.58792,0.63547,312.50885,645.13666,427.20401,841.83282,206.87195,327.14575,723.74554,283.43811,42.6428,-31.15961,-7.33397,-232.78975,-3.32656,82.5317,-0.02684,-12.86574
596,-1.714,-2.849,0.543,-1.48244,-2.605,-0.376,-1.46331,-2.323,15.81957,15.47822,7.36364,12.0906,10.18269,11.86076,17.91612,9.22302,0.14838,-0.07535,0.42247,0.04612,0.36908,0.13117,-0.04406,0.4729,312.4563,367.70285,379.65649,715.51941,153.1084,311.95135,711.98798,238.23181,7.89184,200.24576,-17.99157,63.03845,41.92777,70.94846,65.41489,-12.24928
597,-0.176,-0.515,2.288,1.01673,-1.102,1.736,1.70139,-0.168,15.77769,15.12216,6.48619,11.82879,8.61694,11.58553,18.03,8.08844,-0.08584,-0.04305,0.39411,0.51864,0.17268,0.02643,0.27849,0.11895,259.37885,334.44193,392.36975,766.67535,170.39052,321.57031,667.39838,218.45514,75.35036,192.24606,85.32556,-84.10675,79.85533,102.83755,54.73915,113.2198
598,1.175,0.294,1.748,2.05605,-1.894,3.118,2.73934,-1.41,15.80154,15.23436,6.48992,11.75886,8.62374,11.50887,17.99224,8.16363,0.13772,-0.1188,0.46241,0.37014,0.22103,0.36329,0.65041,0.19779,248.14914,348.85193,373.88828,764.58429,160.96756,301.18646,667.17261,215.34045,46.64797,148.21404,67.57513,-74.97089,53.15213,24.76061,-3.23085,71.04042
599,-3.769,-3.439,-2.543,-1.78512,-4.543,-1.96,0.72473,-3.51,16.61014,15.38089,7.52063,11.97936,10.00496,12.39226,18.04148,9.53109,-0.54791,0.30037,-0.02307,0.83778,0.15366,-0.58746,0.22973,-0.14042,208.42804,366.33017,325.3548,679.04761,168.53084,280.11331,682.49329,196.3093,101.41365,61.9665,41.70076,-141.96144,22.85794,108.79546,-122.85138,56.92406
600,0.104,-0.184,1.383,1.01673,-1.356,1.554,1.70139,-0.268,15.77769,15.12216,6.48619,11.82879,8.61694,11.58553,18.03,8.08844,-0.08584,-0.04305,0.39411,0.51864,0.17268,0.02643,0.27849,0.11895,259.37885,334.44193,392.36975,766.67535,170.39052,321.57031,667.39838,218.45514,75.35036,192.24606,85.32556,-84.10675,79.85533,102.83755,54.73915,113.2198
601,1.872,0.909,2.12,0.39261,-0.37,2.819,-2.508,0.319,14.37811,14.54574,6.04431,11.59854,9.05377,10.88064,17.82754,8.10938,0.82624,0.06849,0.83903,0.83871,-0.0021,0.92941,0.58792,0.63547,312.50885,645.13666,427.20401,841.83282,206.87195,327.14575,723.74554,283.43811,42.6428,-31.15961,-7.33397,-232.78975,-3.32656,82.5317,-0.02684,-12.86574
602,1.116,0.373,0.907,1.57151,0.903,0.583,0.90748,2.047,14.5303,14.25718,6.68619,12.1023,9.26301,11.14408,17.95965,7.7905,0.57921,0.6601,0.6743,0.95587,0.98535,0.47484,0.38512,1.00159,298.09372,445.35101,341.4198,648.12518,203.26122,342.88782,771.93402,284.20688,95.52029,74.26116,-16.99593,-20.69078,-14.72079,67.19048,-75.73895,-57.94874
603,-1.365,-2.425,-1.703,-0.58495,-2.194,-1.089,0.87053,-1.807,14.99448,14.89631,7.20351,12.46986,9.68444,11.39566,17.43558,8.89477,-0.51055,-0.70609,-0.74663,-0.26907,-0.68312,-0.2687,0.45582,-0.89721,284.45975,305.04214,317.39938,521.66046,207.51117,265.22409,729.72235,195.26878,-10.09109,205.20793,28.03801,103.04245,30.73579,41.66119,-72.72443,92.59434
604,-1.111,-1.687,-0.053,0.1442,-3.086,0.76,2.65721,-2.671,14.87976,15.08426,6.40306,11.49772,9.61913,11.50587,17.97898,8.32586,-0.36998,-0.38069,0.15377,0.8864,-0.31724,0.02606,0.7081,-0.12405,213.75223,395.42416,355.4823,625.26935,134.70134,255.62468,565.57343,231.10263,151.82124,-2.09141,128.412,129.63765,82.61028,127.2436,270.2619,65.05629
605,-0.658,0.406,-0.912,-1.14254,-1.654,-0.289,0.27239,-1.178,15.31645,14.93719,7.08526,11.98947,9.76019,11.62788,17.6507,9.05165,-0.59824,-0.65704,-0.28872,0.49417,-0.70047,-0.05905,0.75268,-0.64276,274.73514,426.89508,305.12057,449.94714,155.8076,284.80975,669.42444,218.65327,134.1021,106.34022,166.61554,322.08655,115.26118,75.15211,-0.66284,141.42816
606,-2.957,-3.497,-1.601,-2.15338,-4.57,-0.631,-0.20956,-4.01,16.59933,15.39785,7.53649,12.0238,10.07366,12.34558,18.01425,9.59867,-0.48334,0.29097,0.04292,0.8733,0.16939,-0.47406,0.34975,-0.12772,222.55324,349.26242,338.29108,700.90308,167.01242,288.94736,704.3703,202.06435,85.35345,96.55878,31.32448,-159.85832,27.35447,107.12026,-146.78189,54.18565
607,-1.418,-1.101,-0.088,-0.94915,-2.003,-0.335,1.70785,-0.934,15.0126,14.93466,6.97772,12.0772,9.63884,11.40659,17.44596,8.78669,-0.55394,-0.68566,-0.49549,0.18606,-0.62905,-0.186,0.63533,-0.72509,277.46744,342.19949,316.14484,513.79327,188.58365,268.90665,695.9364,203.82239,41.76923,134.56613,86.39539,180.05199,56.58112,69.2289,5.37376,104.99467
608,0.826,1.378,0.888,-2.25562,-0.819,1.106,-2.13224,0.069,15.6437,14.53825,6.5901,11.63835,8.73601,11.5527,17.71121,8.08608,0.58591,-0.27961,0.3336,-0.14637,0.15706,0.55519,0.47988,0.35228,285.03406,532.24982,414.41162,630.67181,199.15858,308.84064,656.32471,242.28207,43.78015,208.24933,67.27554,135.05119,42.65134,113.97775,122.63345,30.07088
609,-1.695,-1.445,-0.796,-0.75171,-1.61,-0.891,0.62963,-0.676,15.01807,14.89237,7.24614,12.52955,9.71529,11.45207,17.5403,8.92844,-0.50155,-0.67711,-0.7444,-0.29059,-0.70932,-0.26766,0.41545,-0.89646,278.08817,315.6019,317.54974,515.61768,201.27234,263.16586,718.03479,197.87611,6.02723,206.793,31.22947,101.61171,37.94107,42.64221,-70.21109,91.67398
610,-3.429,-2.563,-3.678,-3.36804,-2.466,-3.937,-4.55797,-1.833,15.60376,14.68151,7.89583,13.49733,9.83458,12.28378,19.12715,9.26491,-0.77997,-0.19598,-0.61708,-0.69037,-0.67971,-0.5676,-0.40191,-0.98036,178.58255,435.87564,277.46918,400.01971,160.48134,180.93881,393.79385,184.9893,88.32785,103.77907,57.57732,143.33855,47.4782,81.49763,167.12453,60.01384
611,-4.573,-4.324,-5.332,0.25277,-7.589,-3.611,-1.24242,-7.69,16.3606,15.82405,9.04699,13.76593,11.68539,12.95371,19.25746,10.40742,-1.42127,-1.60944,-1.30769,-0.31275,-2.08252,-1.20558,-0.03384,-2.09207,234.88255,438.97348,263.12808,514.11133,175.83717,236.56866,574.06726,194.927,52.08948,-5.72774,99.90978,64.95269,-13.24309,78.02271,42.25304,51.6041
612,-2.32,-2.644,-3.065,-2.15338,-5.669,-1.209,-0.20956,-5.225,16.59933,15.39785,7.53649,12.0238,10.07366,12.34558,18.01425,9.59867,-0.48334,0.29097,0.04292,0.8733,0.16939,-0.47406,0.34975,-0.12772,222.55324,349.26242,338.29108,700.90308,167.01242,288.94736,704.3703,202.06435,85.35345,96.55878,31.32448,-159.85832,27.35447,107.12026,-146.78189,54.18565
613,-2.357,-2.408,-3.138,-1.95156,-4.158,-1.431,0.44828,-3.544,16.59907,15.33921,7.41351,11.80881,9.86841,12.3971,17.97113,9.40606,-0.61331,0.43192,-0.06408,0.86973,0.26565,-0.75996,0.07226,-0.09647,196.05757,364.06784,315.11691,657.20496,170.53253,266.10315,633.92847,188.17661,125.33045,35.21343,44.1407,-151.40285,16.65043,128.22968,-100.31363,52.3039
614,-0.408,-0.16,-0.844,-0.78563,-1.567,-0.265,1.40224,-0.978,15.13074,14.96519,6.89988,11.84168,9.67415,11.54069,17.63605,8.81704,-0.58671,-0.61921,-0.27801,0.52762,-0.63798,-0.10629,0.72231,-0.58525,265.36725,404.04816,310.68088,483.50937,159.36723,273.22241,652.13495,214.50247,121.18292,80.83328,153.43019,268.97021,97.50814,93.05205,58.8949,122.2925
615,-0.787,-0.307,-2.447,-2.02679,-1.962,-1.768,-1.97622,-1.841,15.48571,15.13927,7.12368,12.50379,9.99453,11.7334,18.08397,9.14446,-0.54092,-0.34091,-0.31156,0.12433,-0.45265,-0.42036,-0.0324,-0.51563,282.82825,445.08435,315.84531,522.92926,169.20036,338.41089,669.53314,222.13483,48.97136,145.15027,104.91188,320.55502,80.3915,-11.05441,85.8286,97.98412
616,-1.936,-1.552,-3.071,-2.11093,-2.825,-2.055,-2.36291,-2.356,15.71303,15.11697,7.80249,13.19925,9.91704,12.36969,18.97684,9.49306,-0.72253,-0.44985,-0.90239,-0.78065,-0.8223,-0.48481,-0.22373,-1.02398,209.52332,402.04233,342.73663,498.04343,139.94403,220.97285,542.3067,233.68658,125.42033,399.46497,49.6776,70.32677,92.71426,53.50991,0.21332,79.59816
617,0.142,-0.942,-0.772,1.15319,-1.132,1.145,1.53683,-0.358,15.06133,14.79947,6.67765,11.90953,9.6122,11.63196,17.9815,8.29184,-0.50616,-0.14397,0.29735,0.68152,-0.13269,-0.2218,0.2572,0.04618,217.87509,499.76071,412.0625,728.96826,166.08548,319.41339,678.22705,231.8968,226.46687,186.06514,114.28525,118.87903,128.29285,264.11456,277.17975,171.76544
618,-0.127,-0.807,-0.761,-0.42077,-2.503,1.085,2.48857,-2.065,14.81179,15.04832,6.44781,11.43848,9.54129,11.46347,17.80006,8.33031,-0.54138,-0.45322,-0.08153,0.80123,-0.46881,-0.16282,0.64788,-0.33337,231.98756,393.56882,326.70605,558.31543,147.09862,252.58255,585.76593,216.8994,138.29117,-3.09108,152.61607,192.13123,81.87131,138.49042,237.06668,81.1423
619,-0.59,-0.637,-2.544,-1.53941,-2.318,-1.091,-0.86737,-2.268,15.35793,14.94077,7.09529,12.11075,9.82127,11.69152,17.79179,9.09992,-0.58383,-0.56816,-0.31079,0.38554,-0.66828,-0.15536,0.55744,-0.65328,272.52942,444.15652,305.61273,467.15808,154.44542,296.79703,679.49231,220.06755,122.95051,120.24265,157.54028,334.81073,112.0787,52.28596,10.54674,133.66632
620,-3.198,-3.192,-5.325,-0.10629,-3.915,-3.724,-2.06004,-3.601,16.2086,15.31822,7.84983,12.26185,10.24063,12.77973,18.8318,9.27292,-1.13405,-0.87436,-0.67049,0.07174,-1.0742,-1.15443,-0.59183,-0.99207,196.94252,597.77881,297.91928,612.32324,191.11763,252.03108,575.20001,213.94157,97.6983,-221.45834,95.65084,109.97426,-9.25747,91.13087,191.65532,86.84203
621,-0.196,-2.923,-1.326,-0.24062,-2.359,1.051,1.74637,-1.285,15.32105,15.03977,6.92584,12.20492,9.9195,11.67202,18.02363,8.84637,-0.07015,-0.47235,0.45812,0.95431,-0.19302,0.4027,0.85035,0.0815,215.95036,356.20435,409.38147,678.92731,138.65668,267.75659,595.85858,278.13351,115.97093,89.42751,22.61576,41.39339,89.05468,58.28873,185.33421,36.44088
622,3.433,1.896,-0.149,2.23283,0.841,2.238,-1.41068,1.432,14.45149,14.5371,6.15004,11.85602,9.18208,10.92018,17.81319,8.1123,0.78548,0.13418,0.74641,0.40827,0.16043,0.89394,0.503,0.81796,293.25549,634.44794,406.30673,859.36798,217.25783,313.78546,759.48907,289.53052,45.26732,-98.80298,-17.34405,-226.24951,-21.58181,88.16696,-45.05588,-24.20119
623,1.942,2.547,-2.06,-1.64024,0.801,-0.335,-1.4386,1.053,14.84975,14.30577,7.08836,12.58659,8.8664,11.61465,18.64884,8.25891,1.32846,1.09065,1.30186,0.77145,1.71534,1.06621,0.39005,1.63132,324.85907,581.48737,381.96246,667.28162,203.91916,331.96872,714.74554,260.91739,-49.84524,-91.32767,-62.97411,-153.7328,-23.02955,-73.91516,-187.06935,-16.24314
624,-2.19,-1.457,-3.261,-1.07429,-3.668,-2.169,-1.07714,-3.466,16.51279,15.30381,7.44256,11.87365,9.87309,12.42961,18.09452,9.35399,-0.69115,0.2767,-0.15575,0.72508,0.08601,-0.82476,-0.04628,-0.23192,191.1216,392.52551,309.98718,638.29095,172.9389,257.87128,611.41376,188.80023,128.56703,8.70288,51.88837,-108.60454,15.13589,127.13428,-53.22801,57.88784
625,-1.38,-0.528,-2.811,-1.86668,-3.141,-1.421,0.1047,-3.253,16.57444,15.32131,7.40655,11.83266,9.83258,12.39344,17.9905,9.39057,-0.62822,0.44316,-0.0968,0.81643,0.26924,-0.7752,0.04141,-0.11239,194.0654,361.93115,313.39423,644.87604,169.43335,261.25006,620.11749,187.32028,128.8905,48.6792,45.30299,-144.27858,18.58866,128.9677,-94.67274,52.39687
626,-1.731,-2.871,-2.381,-1.25703,-3.254,-0.889,-0.2056,-2.338,15.45069,15.21713,7.29641,12.25495,9.95456,11.63821,17.61914,9.07533,-0.20964,-0.35853,-0.14867,-0.1573,-0.11842,-0.08751,0.20391,-0.19988,299.99625,334.61166,349.30453,616.52136,178.68295,289.70706,731.97559,214.26184,0.79693,223.1814,1.11521,86.864,37.65706,63.05333,-23.92869,37.37833
627,-2.294,-4.933,-4.998,0.24857,-3.236,-2.78,-1.02851,-2.36,16.32498,15.37081,7.57769,11.83323,10.12467,12.67583,18.52376,9.20366,-1.04098,-0.65968,-0.45986,0.383,-0.86042,-1.12282,-0.46164,-0.80799,182.92125,557.56952,303.85043,647.43048,191.5728,256.00864,614.72711,204.77927,133.25638,-184.98634,90.7567,61.12606,-2.94862,117.63043,132.37158,92.96368
628,1.649,1.36,0.345,0.74299,2.401,0.657,0.7515,3.286,14.56152,14.33117,6.56894,12.32412,9.05219,11.32585,18.25597,7.97574,0.72765,0.70485,0.79402,0.65185,1.20809,0.64591,0.51051,1.22553,288.98804,555.00824,361.35071,701.79572,223.92696,291.06577,736.58698,291.07007,38.21944,-5.35913,9.79258,-94.84306,-32.84986,77.79253,-43.54525,-33.23681
629,2.894,4.086,0,-0.96534,2.25,0.775,-0.67353,1.966,14.67724,14.37461,6.75132,12.46131,8.92859,11.53403,18.55498,8.06417,0.81442,0.80221,0.98513,0.72806,1.55757,0.69065,0.52263,1.35993,303.12805,594.50299,376.3992,749.17517,216.9951,282.78128,761.23773,289.91846,22.62846,-3.3457,27.35223,-157.61331,-9.18427,58.59828,-137.19247,-3.36867
630,-2.25,-2.652,-3.306,-0.99114,-3.742,-2.248,-0.26748,-3.797,16.53635,15.33973,7.43581,11.79201,9.90447,12.46121,18.08796,9.34208,-0.71936,0.20371,-0.16081,0.76156,0.02506,-0.86601,-0.07126,-0.2523,190.83893,407.83487,310.84091,651.38074,175.56601,261.68484,623.06708,190.58791,130.79794,-18.42906,55.27769,-104.01766,11.45021,128.25032,-44.67865,61.10103
631,-1.341,-3.558,-0.406,-0.24062,-2.407,0.49,1.74637,-1.386,15.32105,15.03977,6.92584,12.20492,9.9195,11.67202,18.02363,8.84637,-0.07015,-0.47235,0.45812,0.95431,-0.19302,0.4027,0.85035,0.0815,215.95036,356.20435,409.38147,678.92731,138.65668,267.75659,595.85858,278.13351,115.97093,89.42751,22.61576,41.39339,89.05468,58.28873,185.33421,36.44088
632,1.187,1.668,-0.184,0.01293,0.98,0.283,0.67577,1.577,14.67646,14.31272,6.91474,12.03017,9.35924,11.30947,18.07581,7.8181,0.49615,0.70476,0.67147,1.23868,1.06178,0.27653,0.25341,0.88333,310.04996,440.69589,331.57596,565.82269,187.35027,350.96582,735.3446,285.38968,104.40495,120.22173,3.31427,22.81456,11.99976,48.99189,-56.50992,-34.85464
633,-0.682,0.588,-1.926,0.37977,-0.979,-1.573,-1.01359,-0.718,15.33155,14.93454,6.92395,12.32358,9.90606,11.7453,18.03761,9.08093,-0.57111,-0.30248,-0.44938,0.01636,-0.50039,-0.56028,-0.06967,-0.73873,273.65283,477.00201,305.4162,555.04883,165.86694,338.80685,746.23315,213.91963,40.17058,157.35548,115.89106,370.29547,75.75577,-26.79493,61.31855,103.92722
634,-1.947,-0.942,-2.032,-2.01207,-2.246,-1.874,-1.96596,-1.711,15.31765,14.91824,7.84238,13.45873,10.11474,12.1523,18.86488,9.32581,-0.29613,-0.27467,-0.74176,-0.79095,-0.87031,-0.3029,-0.27355,-0.81381,200.28659,393.43246,341.87219,509.90833,139.16635,229.90067,582.6687,233.14749,140.88814,283.89209,-4.06993,-29.22391,90.64645,42.64477,-28.63507,39.77156
635,-0.814,-2.088,0.615,1.34996,-3.091,1.274,1.89587,-2.44,15.28762,15.09419,6.68519,12.03159,9.84768,11.57391,18.17486,8.72313,0.00848,-0.366,0.33083,0.4534,-0.1072,0.49846,0.8967,-0.00083,211.407,405.99091,396.76431,727.87323,129.06807,289.08246,615.30084,237.47095,137.04897,109.93995,68.38145,31.18928,75.46211,39.05643,111.72642,80.33295
636,3.614,0.887,6.983,-1.2118,1.541,6.52,0.17796,3.263,15.5825,15.62652,6.66921,11.66754,9.0105,11.74726,17.7708,8.69306,0.54694,0.09723,0.53334,0.06405,0.33424,0.54305,0.71977,0.49215,498.88638,489.4491,443.05249,742.48267,210.34758,441.22525,870.50201,304.59647,-242.61528,244.8029,-40.20468,-4.44895,72.06652,-119.51804,-215.94661,-27.3661
637,-0.074,-0.181,1.916,-1.66118,-0.124,0.691,-0.84443,0.609,15.23842,14.73422,6.73554,11.94979,9.25054,11.51987,17.8373,8.3787,0.2293,-0.26504,0.2647,-0.08697,0.08558,0.33652,0.38723,0.2657,265.40268,540.04706,397.276,629.15991,207.09116,286.17807,618.73181,256.07367,93.78568,227.7235,94.10683,140.91908,69.59309,176.23825,172.0218,83.16867
638,-3.306,-1.958,-1.738,-2.9353,-1.924,-3.163,-2.56553,-1.07,16.02348,15.29689,7.72012,12.98539,9.78723,12.46601,19.00675,9.55702,-1.04557,-0.64139,-0.94642,-0.63443,-0.71918,-0.57756,-0.09925,-1.09198,236.4948,402.20563,330.90665,485.96014,152.15573,225.78722,515.57037,234.08704,84.82288,493.69061,121.50542,183.35298,88.41496,59.39323,30.33284,119.92751
639,-2.568,-0.64,-1.776,-2.9353,-1.364,-3.83,-2.56553,-1.612,16.02348,15.29689,7.72012,12.98539,9.78723,12.46601,19.00675,9.55702,-1.04557,-0.64139,-0.94642,-0.63443,-0.71918,-0.57756,-0.09925,-1.09198,236.4948,402.20563,330.90665,485.96014,152.15573,225.78722,515.57037,234.08704,84.82288,493.69061,121.50542,183.35298,88.41496,59.39323,30.33284,119.92751
640,-3.883,-4.475,-0.63,-1.2923,-4.642,-1.651,1.63536,-3.968,16.71583,15.50576,7.86415,12.49556,10.13239,12.42697,18.29075,9.78819,-0.40084,0.02133,-0.13572,0.42287,-0.14299,-0.23003,0.42217,-0.27047,220.29868,397.83661,335.23074,699.54474,163.15245,308.07419,822.20123,204.83736,47.47742,116.33395,40.45437,-79.04355,36.57228,34.23681,-189.3913,64.89063
641,-1.235,-1.341,0.786,0.48006,-0.998,0.225,0.37047,0.182,15.04804,14.75073,6.76366,12.05371,9.53031,11.58901,17.98625,8.3545,-0.22112,-0.20859,0.32241,0.36008,-0.02499,0.00289,0.26047,0.15862,238.60406,521.672,412.84842,697.37738,187.15678,307.94864,650.48132,245.82068,185.94484,268.48627,97.76086,116.70265,112.90449,246.42586,226.83417,157.79613
642,0.957,3.173,-2.861,-0.52901,-1.456,-0.371,-0.1526,-1.501,15.34608,14.92989,7.02567,12.06841,9.81644,11.6914,17.80116,9.07948,-0.59479,-0.53487,-0.31262,0.38556,-0.64101,-0.21119,0.50104,-0.66487,273.0788,454.65894,303.82034,479.56613,154.65395,304.00867,693.05908,218.88945,114.71782,117.83459,160.88358,356.57495,109.21309,43.14705,22.40765,133.13379
643,0.133,0.992,0.073,-0.78563,-2.509,0.944,1.40224,-1.872,15.13074,14.96519,6.89988,11.84168,9.67415,11.54069,17.63605,8.81704,-0.58671,-0.61921,-0.27801,0.52762,-0.63798,-0.10629,0.72231,-0.58525,265.36725,404.04816,310.68088,483.50937,159.36723,273.22241,652.13495,214.50247,121.18292,80.83328,153.43019,268.97021,97.50814,93.05205,58.8949,122.2925
644,-1.834,-1.038,-1.743,-1.58314,-2.352,-1.45,-0.91031,-1.487,15.19961,14.89389,7.66012,13.18305,10.01026,11.92357,18.4515,9.19374,-0.32514,-0.3826,-0.71825,-0.62001,-0.82585,-0.2712,-0.058,-0.81589,223.21161,371.67239,334.00116,510.71622,156.96223,241.33565,626.43195,222.74084,104.31072,247.76198,5.45456,7.83819,76.32861,42.56536,-42.57336,53.60088
645,-5.488,-6.123,-7.582,0.25277,-6.904,-4.98,-1.24242,-5.987,16.3606,15.82405,9.04699,13.76593,11.68539,12.95371,19.25746,10.40742,-1.42127,-1.60944,-1.30769,-0.31275,-2.08252,-1.20558,-0.03384,-2.09207,234.88255,438.97348,263.12808,514.11133,175.83717,236.56866,574.06726,194.927,52.08948,-5.72774,99.90978,64.95269,-13.24309,78.02271,42.25304,51.6041
646,-4.604,-0.528,-5.073,-0.36455,-6.136,-4.833,-1.83428,-5.929,16.2345,15.3175,8.82132,13.79574,10.72089,12.943,19.31917,9.94629,-1.09684,-0.68912,-1.08027,-0.43172,-0.86083,-0.96853,-0.38293,-1.06006,263.20203,519.50342,280.36145,507.48959,167.43161,254.73116,490.28043,224.88036,-30.6174,-110.78088,74.03127,47.45729,-17.6515,11.39411,120.15067,21.36161
647,-3.948,-1.225,-3.532,-1.33515,-3.98,-3.105,-3.04487,-3.127,15.93613,14.97481,8.13117,13.264,10.09196,12.60457,19.105,9.41315,-0.91799,-0.39549,-0.73083,-0.41575,-0.67821,-0.80864,-0.48429,-0.86967,211.66644,511.52914,285.38748,487.68732,169.57269,224.09987,461.05197,207.56111,45.69905,-61.14471,68.32214,100.1957,12.27171,55.43262,166.88612,50.80694
648,-2.553,-1.224,-3.716,-1.07429,-3.431,-2.18,-1.07714,-3.059,16.51279,15.30381,7.44256,11.87365,9.87309,12.42961,18.09452,9.35399,-0.69115,0.2767,-0.15575,0.72508,0.08601,-0.82476,-0.04628,-0.23192,191.1216,392.52551,309.98718,638.29095,172.9389,257.87128,611.41376,188.80023,128.56703,8.70288,51.88837,-108.60454,15.13589,127.13428,-53.22801,57.88784
649,-0.526,-1.19,-0.077,-0.42077,-1.812,0.648,2.48857,-0.926,14.81179,15.04832,6.44781,11.43848,9.54129,11.46347,17.80006,8.33031,-0.54138,-0.45322,-0.08153,0.80123,-0.46881,-0.16282,0.64788,-0.33337,231.98756,393.56882,326.70605,558.31543,147.09862,252.58255,585.76593,216.8994,138.29117,-3.09108,152.61607,192.13123,81.87131,138.49042,237.06668,81.1423
650,0.457,1.655,0.118,-2.25562,-0.694,0.715,-2.13224,-0.379,15.6437,14.53825,6.5901,11.63835,8.73601,11.5527,17.71121,8.08608,0.58591,-0.27961,0.3336,-0.14637,0.15706,0.55519,0.47988,0.35228,285.03406,532.24982,414.41162,630.67181,199.15858,308.84064,656.32471,242.28207,43.78015,208.24933,67.27554,135.05119,42.65134,113.97775,122.63345,30.07088
651,-2.921,-3.241,-1.769,-2.15338,-4.858,-1.487,-0.20956,-4.456,16.59933,15.39785,7.53649,12.0238,10.07366,12.34558,18.01425,9.59867,-0.48334,0.29097,0.04292,0.8733,0.16939,-0.47406,0.34975,-0.12772,222.55324,349.26242,338.29108,700.90308,167.01242,288.94736,704.3703,202.06435,85.35345,96.55878,31.32448,-159.85832,27.35447,107.12026,-146.78189,54.18565
652,-2.341,-1.804,-1.477,-1.58314,-2.511,-1.526,-0.91031,-1.87,15.19961,14.89389,7.66012,13.18305,10.01026,11.92357,18.4515,9.19374,-0.32514,-0.3826,-0.71825,-0.62001,-0.82585,-0.2712,-0.058,-0.81589,223.21161,371.67239,334.00116,510.71622,156.96223,241.33565,626.43195,222.74084,104.31072,247.76198,5.45456,7.83819,76.32861,42.56536,-42.57336,53.60088
653,-0.931,0.887,-1.699,-1.53941,-1.287,-1.194,-0.86737,-1.501,15.35793,14.94077,7.09529,12.11075,9.82127,11.69152,17.79179,9.09992,-0.58383,-0.56816,-0.31079,0.38554,-0.66828,-0.15536,0.55744,-0.65328,272.52942,444.15652,305.61273,467.15808,154.44542,296.79703,679.49231,220.06755,122.95051,120.24265,157.54028,334.81073,112.0787,52.28596,10.54674,133.66632
654,-1.85,-1.115,-2.063,-2.9039,-0.827,-1.854,-2.60527,-0.272,15.57415,15.2777,7.53165,13.17406,10.23146,11.81618,18.49828,9.17199,-0.35492,-0.35902,-0.20953,0.01489,-0.43451,-0.212,-0.10631,-0.2366,287.74487,393.87561,313.43475,496.16156,178.94426,320.29343,569.38715,235.80739,38.7447,203.57581,95.53528,189.25554,75.53999,7.62916,90.32785,74.70949
655,-1.536,-0.509,-1.4,-1.13595,0.419,-1.608,-0.44644,1.12,14.77839,14.51506,6.68552,12.11907,9.16898,11.46914,18.29831,8.25781,0.40879,0.1793,0.44251,0.38008,0.39794,0.19286,-0.0643,0.37197,289.14389,493.48065,334.37909,574.61133,196.32364,291.36581,609.64618,263.44891,18.7655,163.61542,50.00719,48.12907,37.97554,5.75492,27.59272,42.9762
656,1.774,-0.434,2.462,-1.45425,0.32,3.239,-1.11373,1.362,15.48997,15.45184,6.62589,12.09691,9.18924,11.6294,18.18385,8.31746,0.24067,-0.1298,0.48766,-0.30884,0.4553,0.30802,-0.16782,0.91018,406.66559,448.90579,439.8266,738.65192,232.68163,409.51563,725.76111,328.436,-16.99842,447.19656,-10.00628,-59.11764,101.3905,-70.7783,-77.50481,42.65333
657,2.644,2.84,0.005,0.39261,0.484,1.707,-2.508,0.935,14.37811,14.54574,6.04431,11.59854,9.05377,10.88064,17.82754,8.10938,0.82624,0.06849,0.83903,0.83871,-0.0021,0.92941,0.58792,0.63547,312.50885,645.13666,427.20401,841.83282,206.87195,327.14575,723.74554,283.43811,42.6428,-31.15961,-7.33397,-232.78975,-3.32656,82.5317,-0.02684,-12.86574
658,-1.639,0.721,-3.175,-2.93137,-1.444,-2.693,-2.18249,-1.175,15.87076,15.66596,7.37774,12.85064,10.21004,11.65343,18.16394,9.25254,-0.51761,-0.31415,0.01419,0.35455,-0.17618,-0.31843,-0.21397,0.01672,320.211,392.93579,336.9429,493.86859,189.00267,377.31064,536.21069,236.24551,10.26637,111.64147,75.60567,281.02463,70.12919,-22.64843,189.55688,79.60751
659,-1.602,1.232,-1.861,-2.02679,-2.058,-1.686,-1.97622,-1.865,15.48571,15.13927,7.12368,12.50379,9.99453,11.7334,18.08397,9.14446,-0.54092,-0.34091,-0.31156,0.12433,-0.45265,-0.42036,-0.0324,-0.51563,282.82825,445.08435,315.84531,522.92926,169.20036,338.41089,669.53314,222.13483,48.97136,145.15027,104.91188,320.55502,80.3915,-11.05441,85.8286,97.98412
